,sessionId,userId,item,data
0,Prolific Jan2021,5d694784be10f9001511d7a3,Basic Commands,3.0
1,Prolific Jan2021,5d694784be10f9001511d7a3,Function,
2,Prolific Jan2021,5d694784be10f9001511d7a3,Repeat,9.0
3,Prolific Jan2021,5ca8c84e92fdc200129e9db3,Basic Commands,21.0
4,Prolific Jan2021,5ca8c84e92fdc200129e9db3,Function,
5,Prolific Jan2021,5f512f610a752a32cf96d74f,Basic Commands,9.0
6,Prolific Jan2021,5d694784be10f9001511d7a3,Combine,
7,Prolific Jan2021,5e4c214a69cc03000caf6259,Basic Commands,
8,Prolific Jan2021,5e4c214a69cc03000caf6259,Function,
9,Prolific Jan2021,5f512f610a752a32cf96d74f,Function,
10,Prolific Jan2021,5e4c214a69cc03000caf6259,Repeat,
11,Prolific Jan2021,5d694784be10f9001511d7a3,Challenge,6.0
12,Prolific Jan2021,5e4c214a69cc03000caf6259,Combine,
13,Prolific Jan2021,5f512f610a752a32cf96d74f,Repeat,30.0
14,Prolific Jan2021,5e4c214a69cc03000caf6259,Challenge,42.0
15,Prolific Jan2021,5f512f610a752a32cf96d74f,Combine,6.0
16,Prolific Jan2021,5f512f610a752a32cf96d74f,Challenge,6.0
17,Prolific Jan2021,5eda126ec6a418029cb19e91,Basic Commands,
18,Prolific Jan2021,5eda126ec6a418029cb19e91,Function,
19,Prolific Jan2021,5eda126ec6a418029cb19e91,Repeat,6.0
20,Prolific Jan2021,5eda126ec6a418029cb19e91,Combine,
21,Prolific Jan2021,5eda126ec6a418029cb19e91,Challenge,
22,Prolific Jan2021,5c44ad201ddd660001ca00b0,Basic Commands,
23,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Basic Commands,6.0
24,Prolific Jan2021,5c44ad201ddd660001ca00b0,Function,
25,Prolific Jan2021,5f043ab655b1f267b94176b4,Basic Commands,3.0
26,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Basic Commands,
27,Prolific Jan2021,5fc3df4c86fa277559d373c2,Basic Commands,
28,Prolific Jan2021,5c44ad201ddd660001ca00b0,Repeat,
29,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Basic Commands,3.0
30,Prolific Jan2021,5f248b7b1bde03086270bd37,Basic Commands,
31,Prolific Jan2021,5c102d91e32f860001651a93,Basic Commands,
32,Prolific Jan2021,5f043ab655b1f267b94176b4,Function,
33,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Basic Commands,9.0
34,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Function,
35,Prolific Jan2021,5c28efb626e55d0001a685b1,Basic Commands,
36,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Function,
37,Prolific Jan2021,5fc3df4c86fa277559d373c2,Function,
38,Prolific Jan2021,5cfd119645e1a20001883ee6,Basic Commands,12.0
39,Prolific Jan2021,5f248b7b1bde03086270bd37,Function,
40,Prolific Jan2021,5c102d91e32f860001651a93,Function,
41,Prolific Jan2021,5fc0c541c266bd597b286e98,Basic Commands,3.0
42,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Function,
43,Prolific Jan2021,5f043ab655b1f267b94176b4,Repeat,
44,Prolific Jan2021,5dde8068332b34dd9047e51b,Basic Commands,
45,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Basic Commands,
46,Prolific Jan2021,5c28efb626e55d0001a685b1,Function,
47,Prolific Jan2021,5eedb69308f7161ee954279d,Basic Commands,
48,Prolific Jan2021,5c102d91e32f860001651a93,Repeat,
49,Prolific Jan2021,5c7fb04093cdce00160adf49,Basic Commands,3.0
50,Prolific Jan2021,5fc3df4c86fa277559d373c2,Repeat,6.0
51,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Basic Commands,
52,Prolific Jan2021,5fc0c541c266bd597b286e98,Function,
53,Prolific Jan2021,5f248b7b1bde03086270bd37,Repeat,
54,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Repeat,6.0
55,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Basic Commands,15.0
56,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Function,
57,Prolific Jan2021,5dde8068332b34dd9047e51b,Function,
58,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Repeat,
59,Prolific Jan2021,5efb2cae4187a504713a4081,Basic Commands,6.0
60,Prolific Jan2021,5c7fb04093cdce00160adf49,Function,
61,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Function,
62,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Basic Commands,3.0
63,Prolific Jan2021,5cfd119645e1a20001883ee6,Function,
