,sessionId,item,avg_n_actions,avg_n_attempts,avg_n_successes,avg_first_time,avg_success_time,avg_opened_example,avg_timedout
0,Other,Basic Commands,17.125,3.066666666666667,36.36363636363637,02:21,00:30,31.818181818181817,18.181818181818183
1,Other,Function,13.928571428571429,0.0,42.857142857142854,01:21,00:33,21.428571428571427,17.857142857142858
2,Other,Repeat,59.64705882352941,3.0,44.0,10:13,01:34,32.0,20.0
3,Other,Combine,57.833333333333336,1.6,34.78260869565217,47:21,01:17,21.73913043478261,17.391304347826086
4,Other,Challenge,88.72727272727273,1.6666666666666667,20.0,16:27,01:52,35.0,30.0
5,Prolific Jan2021,Basic Commands,17.5,2.4,100.0,00:16,01:01,9.375,0.0
6,Prolific Jan2021,Function,26.25,0.0,84.375,00:27,01:29,43.75,9.375
7,Prolific Jan2021,Repeat,75.96666666666667,6.428571428571429,76.66666666666667,00:27,03:51,40.0,16.666666666666664
8,Prolific Jan2021,Combine,52.407407407407405,4.157894736842105,92.85714285714286,00:52,03:08,10.714285714285714,7.142857142857142
9,Prolific Jan2021,Challenge,251.71428571428572,6.521739130434782,46.42857142857143,00:28,06:54,28.57142857142857,0.0
