userId,data,date,type,currentView,item
bachbumbeng,CommandsMLMR,2021-01-08T10:22:47.493Z,UPDATE_CURRENT_VIEW,CommandsMLMR,Basic Commands
bachbumbeng,dashboard,2021-01-08T10:22:55.600Z,UPDATE_CURRENT_VIEW,CommandsMLMR,Basic Commands
bachbumbeng,CommandsMLMR,2021-01-08T10:22:57.084Z,UPDATE_CURRENT_VIEW,dashboard,Basic Commands
bachbumbeng,,2021-01-08T10:23:10.614Z,TIMEDOUT,CommandsMLMR,Basic Commands
bachbumbeng,CommandsMLMR,2021-01-08T10:23:15.552Z,UPDATE_CURRENT_VIEW,dashboard,Basic Commands
bachbumbeng,dashboard,2021-01-08T10:23:22.901Z,UPDATE_CURRENT_VIEW,CommandsMLMR,Basic Commands
bachbumbeng,MethodsStepUp,2021-01-08T10:23:23.981Z,UPDATE_CURRENT_VIEW,dashboard,Function
bachbumbeng,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" editable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_pickup_stone"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_turn_left"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""procedures_callnoargsnoreturn"" deletable=""false"" movable=""false"" editable=""false""><mutation name=""turn right""></mutation><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_place_stone"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></statement></block><block type=""procedures_defnoargsnoreturn"" deletable=""false"" movable=""false"" editable=""false"" x=""20"" y=""276""><field name=""NAME"">turn right</field><statement name=""STACK""><block type=""karel_move""></block></statement></block></xml>",2021-01-08T10:23:26.656Z,UPDATE_CODE_move,MethodsStepUp,Function
bachbumbeng,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" editable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_pickup_stone"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_turn_left"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""procedures_callnoargsnoreturn"" deletable=""false"" movable=""false"" editable=""false""><mutation name=""turn right""></mutation><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_place_stone"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></statement></block><block type=""procedures_defnoargsnoreturn"" deletable=""false"" movable=""false"" editable=""false"" x=""20"" y=""276""><field name=""NAME"">turn right</field><statement name=""STACK""><block type=""karel_move""><next><block type=""karel_turn_left""></block></next></block></statement></block></xml>",2021-01-08T10:23:28.700Z,UPDATE_CODE_move,MethodsStepUp,Function
bachbumbeng,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" editable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_pickup_stone"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_turn_left"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""procedures_callnoargsnoreturn"" deletable=""false"" movable=""false"" editable=""false""><mutation name=""turn right""></mutation><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_place_stone"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></statement></block><block type=""procedures_defnoargsnoreturn"" deletable=""false"" movable=""false"" editable=""false"" x=""20"" y=""276""><field name=""NAME"">turn right</field><statement name=""STACK""><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></statement></block></xml>",2021-01-08T10:23:30.355Z,UPDATE_CODE_move,MethodsStepUp,Function
bachbumbeng,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" editable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_pickup_stone"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_turn_left"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""procedures_callnoargsnoreturn"" deletable=""false"" movable=""false"" editable=""false""><mutation name=""turn right""></mutation><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_place_stone"" deletable=""false"" movable=""false"" editable=""false""><next><block type=""karel_move"" deletable=""false"" movable=""false"" editable=""false""></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></statement></block><block type=""procedures_defnoargsnoreturn"" deletable=""false"" movable=""false"" editable=""false"" x=""20"" y=""276""><field name=""NAME"">turn right</field><statement name=""STACK""><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_move""></block></next></block></next></block></next></block></statement></block></xml>",2021-01-08T10:23:32.799Z,UPDATE_CODE_move,MethodsStepUp,Function
bachbumbeng,,2021-01-08T10:23:37.515Z,TIMEDOUT,MethodsStepUp,Function
bachbumbeng,MethodsStepUp,2021-01-08T10:23:46.833Z,UPDATE_CURRENT_VIEW,dashboard,Function
bachbumbeng,MethodsTurnAround,2021-01-08T10:26:39.283Z,UPDATE_CURRENT_VIEW,MethodsStepUp,Function
bachbumbeng,MethodsTurnAround,2021-01-08T10:35:45.774Z,UPDATE_CURRENT_VIEW,MethodsTurnAround,Function
bachbumbeng,MethodsTurnAround,2021-01-08T10:35:48.490Z,UPDATE_CURRENT_VIEW,MethodsTurnAround,Function
bachbumbeng,dashboard,2021-01-08T10:35:53.682Z,UPDATE_CURRENT_VIEW,MethodsTurnAround,Function
bachbumbeng,MethodsStepUp,2021-01-08T10:35:55.769Z,UPDATE_CURRENT_VIEW,dashboard,Function
